,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Diamond Valley Lake Marina,,"['2615 Angler Ave', 'Hemet, CA 92545']","[['Monday', [['6:30 am--4:15 pm']]], ['Tuesday', [['6:30 am--4:15 pm']]], ['Wednesday', [['6:30 am--4:15 pm']], 1], ['Thursday', [['6:30 am--4:15 pm']]], ['Friday', [['6:30 am--4:15 pm']]], ['Saturday', [['6:30 am--4:15 pm']]], ['Sunday', [['6:30 am--4:15 pm']]]]",(951) 926-7201,False,104699454385822125632,"[33.703804, -117.003209]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Blue Ribbon Cleaners,,"['Parole', 'Annapolis, MD']",,(410) 266-6123,False,103054478949000078829,"[38.979759, -76.547538]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,T C's Referee Sports Bar,$$,"['5322 W 26th St', 'Sioux Falls, SD 57106']","[['Monday', [['11:00 am--10:00 pm']]], ['Tuesday', [['11:00 am--10:00 pm']], 1], ['Wednesday', [['11:00 am--10:00 pm']]], ['Thursday', [['11:00 am--10:00 pm']]], ['Friday', [['11:00 am--1:00 am']]], ['Saturday', [['11:00 am--1:00 am']]], ['Sunday', [['11:00 am--10:00 pm']]]]",(605) 361-2208,False,100327153115986850675,"[43.529494, -96.792244]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Single Tree Inn,,"['2033 W Oklahoma Ave', 'Ulysses, KS 67880']",,(620) 356-1500,False,103848836623683146185,"[37.576427, -101.386182]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Old Chicago,$$,"['17960 NW Evergreen Pkwy', 'Beaverton, OR 97006']","[['Monday', [['11:00 am--1:00 am']]], ['Tuesday', [['11:00 am--1:00 am']]], ['Wednesday', [['11:00 am--1:00 am']]], ['Thursday', [['11:00 am--1:00 am']], 1], ['Friday', [['11:00 am--1:00 am']]], ['Saturday', [['11:00 am--1:00 am']]], ['Sunday', [['11:00 am--1:00 am']]]]",(503) 533-4650,False,118222137795476771294,"[45.535176, -122.862242]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,China Cottage,$$,"['3718 Wilmington Pike', 'Dayton, OH 45429']","[['Monday', [['11:00 am--10:00 pm']]], ['Tuesday', [['11:00 am--10:00 pm']]], ['Wednesday', [['11:00 am--10:00 pm']], 1], ['Thursday', [['11:00 am--10:00 pm']]], ['Friday', [['11:00 am--11:00 pm']]], ['Saturday', [['11:00 am--11:00 pm']]], ['Sunday', [['11:00 am--10:00 pm']]]]",(937) 294-4724,False,106432060150136868000,"[39.692899, -84.136173]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,La Quinta Inn & Suites Ormond Beach/Daytona Beach,,"['1571 N US Highway 1', 'Ormond Beach, FL 32174']",,(386) 236-2031,False,111282238562509982741,"[29.337011, -81.128647]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Dicola's Pizzeria,,"['626 Can Do Expy # 1 , Hazle, PA 18202']",,(570) 384-0520,False,104869934485244376571,"[40.9908, -76.0117]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Mastercuts,,"['666 Brandon Town Ctr', 'Brandon Town Center', 'Brandon, FL 33511']","[['Monday', [['10:00 am--9:00 pm']]], ['Tuesday', [['10:00 am--9:00 pm']]], ['Wednesday', [['10:00 am--9:00 pm']]], ['Thursday', [['10:00 am--9:00 pm']], 1], ['Friday', [['10:00 am--9:00 pm']]], ['Saturday', [['10:00 am--9:00 pm']]], ['Sunday', [['11:00 am--6:00 pm']]]]",(813) 653-9008,False,101043078960050199039,"[27.926719, -82.326991]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Polo Club Cranbrook,,"['14531 Ella Blvd', 'Houston, TX 77014']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']], 1], ['Thursday', [['9:00 am--6:00 pm']]], ['Friday', [['9:00 am--6:00 pm']]], ['Saturday', [['10:00 am--5:00 pm']]], ['Sunday', [['1:00--5:00 pm']]]]",(281) 872-1222,False,111230142112807464303,"[29.979443, -95.439439]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Seminole Metal Finishing Inc.,,"['967 Explorer Cove', 'Altamonte Springs, FL 32701']",,(407) 332-8949,False,107457864393084725818,"[28.681282, -81.35249]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Byron Center High School,,"['8500 Burlingame Ave SW', 'Byron Center, MI 49315']",,(616) 878-6600,False,105455649021131746775,"[42.810092, -85.702919]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,Smokey Mountain Wings,$$,"['3607 Outdoor Sportsman Pl', 'Kodak, TN 37764']",,(865) 465-3121,False,100184392614713668281,"[35.98598, -83.610598]"
,name,price,address,hours,phone,closed,gPlusPlaceId,gps
0,San Antonio Moving Company,,"['San Antonio, TX']","[['Monday', [['8:00 am--8:00 pm']]], ['Tuesday', [['8:00 am--8:00 pm']]], ['Wednesday', [['8:00 am--8:00 pm']]], ['Thursday', [['8:00 am--8:00 pm']], 1], ['Friday', [['8:00 am--8:00 pm']]], ['Saturday', [['8:00 am--8:00 pm']]], ['Sunday', [['8:00 am--8:00 pm']]]]",(210) 228-4062,False,107059752736783728413,"[29.517006, -98.436528]"
