rating,reviewerName,reviewText,categories,gPlusPlaceId,unixReviewTime,reviewTime,gPlusUserId
5.0,Matthew Fisher,It's all about Tuesdays and Thursdays- $1 tacos and 35 cent wings!,"['Bar & Grill', 'Sports Bar', 'American Restaurant']",104109613421135276122,1382299422,"Oct 20, 2013",100001147750864523621
4.0,Matthew Fisher,,"['Hamburger Restaurant', 'Fast Food Restaurant']",106642528844721706894,1382299148,"Oct 20, 2013",100001147750864523621
5.0,Matthew Fisher,,"['Tex-Mex Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']",107390227071306429060,1382299472,"Oct 20, 2013",100001147750864523621
3.0,Matthew Fisher,,"['European Restaurant', 'Mediterranean Restaurant', 'Greek Restaurant']",109500450628961750922,1382299622,"Oct 20, 2013",100001147750864523621
5.0,Matthew Fisher,Love Friday ribs!,"['Restaurant', 'European Restaurant', 'Pizza Restaurant']",111359007563030584853,1382299526,"Oct 20, 2013",100001147750864523621
3.0,Matthew Fisher,,['Vietnamese Restaurant'],117772635901991865240,1382299333,"Oct 20, 2013",100001147750864523621
5.0,Matthew Fisher,Fried chicken BLT,"['American Restaurant', 'Fast Food Restaurant', 'Hamburger Restaurant']",118180746529675226433,1382299567,"Oct 20, 2013",100001147750864523621
5.0,Justin Rachal,Excellent fish quality was superb the recipes used were original the service was great and the chef was willing to give advice as to their best rolls.,"['Sushi Restaurant', 'Asian Restaurant', 'Japanese Restaurant']",103910903908097474527,1383437408,"Nov 2, 2013",100002370166360761847
2.0,Adrian Salas,,"['Restaurant', 'Fast Food Restaurant', 'Hamburger Restaurant']",107492822345131103463,1382802672,"Oct 26, 2013",100010084652638597302
5.0,charles meyer,"Wow, 1 of the top 2 comforts food diners in Houston. Great food and service too!","['Restaurant', 'American Restaurant']",100738623090118394468,1392654820,"Feb 17, 2014",100010714146034061893
5.0,adam sevel,Best BBQ ever we love this place.,"['Barbecue Restaurant', 'Gas Station']",106849912244293860411,1347645126,"Sep 14, 2012",100010728838284650713
5.0,Vanisha Patel,Great food!,"['Thai Restaurant', 'Asian Restaurant', 'Southeast Asian Restaurant']",109261877165648687187,1374816142,"Jul 25, 2013",100012941171103556149
5.0,Kedar Namjoshi,Best Gujarati (Indian) food ever. I cannot stress more on how delicious the food is. True delight for all the senses. Highly recommended.,"['Restaurant', 'Asian Restaurant', 'Indian Restaurant']",111475043882724255714,1367179445,"Apr 28, 2013",100013564799955876751
4.0,Kedar Namjoshi,Decent downtown restaurant. Amazing Indian - Italian fusion fast food. Definitely recommend. Great value for money.,"['Pizza Restaurant', 'European Restaurant']",114980362359685517443,1366927740,"Apr 25, 2013",100013564799955876751
5.0,Alice Wonder,"Loved it, 	- Azaret","['Chinese Restaurant', 'Asian Restaurant']",103853657255676353826,1374293881,"Jul 19, 2013",100017465714633143384
3.0,James Jordan,"Service was terrible. It took about 45min. To order our food. Cashiers were rude. Toilet paper all over restroom, i had to let them know it needed cleaning.","['Restaurant', 'Hamburger Restaurant']",100415287009723101514,1385526734,"Nov 26, 2013",100027432843261344667
1.0,Jarrett Johnson,,['Delivery Restaurant'],112887575391189355494,1332359815,"Mar 21, 2012",100028914501741835912
4.0,Mukti Dunn,I usually order take-out or delivery and either way it’s fast. The food is very fresh and is a generous portion. The chicken used for the orange chicken is white meat only there's not fatty stuff.  It really tastes like home cooking. I was pleasantly surprised!,['Chinese Restaurant'],109384436160760004439,1371248099,"Jun 14, 2013",100029906941487687281
5.0,Cana Cen,,['Korean Restaurant'],104671552109036075328,1382053948,"Oct 17, 2013",100031323095072856847
4.0,Al Parvar,,['French Restaurant'],105438106597985676012,1359134910,"Jan 25, 2013",100031963153288747748
4.0,Al Parvar,,"['Restaurant', 'American Restaurant', 'Bar & Grill']",111790291339422118957,1355764989,"Dec 17, 2012",100031963153288747748
3.0,Denise Rojas,"Food was ok, nothing to be excited about. I found the tacos and meats used too dry and there was not enough sauce to make the flavor less food more appealing. However, the queso was great and the only thing I would return to eat. The manager was also impatient and rude while we were trying to order making you feel pressured to order quickly and move on even though there was no one else in line. I am glad I tried it and would say everyone should since tastes change person to person…","['Mexican Restaurant', 'Latin American Restaurant']",110981440529688728764,1356575642,"Dec 26, 2012",100035139279199818761
5.0,jose muñoz,,"['Takeout Restaurant', 'Hamburger Restaurant', 'Fast Food Restaurant']",101936481860587339582,1375811209,"Aug 6, 2013",100040230275930996999
5.0,luis macias,Great food,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",115281324263019037889,1395868834,"Mar 26, 2014",100041456312266516455
1.0,Jazmin Prado,I had a horrible experience the waitress there are rude and mean and pretty stuck up. Only a one good waitress try to help us out after she saw that our actually waitress was just ignoring us the entire time. We end up leaving because we had already waited for more than an hour for our food and the stupid manager blamed on the kitchen. But it was the waitress cause I saw my food being there ready for more than 15 minutes sucks for them cause I normally tip at least 8 dollars cause I have a kid of 2 years and I know they not easy but for ones my daughter behave and the place was in his worse. NEVER would I eat here again,"['American Restaurant', 'Bar']",110153597364748360567,1387485615,"Dec 19, 2013",100041935785731021265
